author,published_at,updated_at,like_count,text
@adrianamurillo9686,2022-11-12T17:16:10Z,2022-11-12T17:16:10Z,1,Daddy es el mekor de la vieja y nueva escula llore quien llore aceptelon tambien es muy versatil y my flaco el mejor salsero asta ahora amo la salsa de my flaco bello mejor junte en la historia dos leyendas cada uno en su estilo q sigan muchos frutos buenos para Marc y El Rey del reggaeton el Big Boss DADDY YANKEE su fans numero uno dede underground  y fiel for ever digan lo q digan porque la malda y la envidia existe sobre todo e este genero por cada controvercia q a estado pasando ultimamente en este genero se puede ver y es triste q entre colegas desacrediten su genero lucharon tanto para q sean escuchados y ustedes mismo se estan tratando de apagar porque haci nos hacen ver q hay mucha envidia entre ustedes y mucha ipocrecia entre ustedes y eso es malo para cada umo de ustedes y de du genero porque haci no podemos confiar en ningunos de ustedes  .
@carolr.1799,2021-06-07T22:07:31Z,2021-06-07T22:07:31Z,10,marc Anthony el mejor.. been waiting for these two to come together for a long time. yesss! finally... looking forward to being able to make it to one of his concerts one day.. to think i use to dislike salsa as a kid but jerry Rivera and marc changed my ways.. que viva la salsa!!!!
@GonzaloYerdi,2023-06-21T21:09:36Z,2023-06-21T21:09:36Z,0,Super!!! gracias..🤩
@reneegremore3532,2023-07-04T04:58:35Z,2023-07-04T04:58:35Z,1,Happy sounds.   I don’t speak Spanish.   Makes my body want to dance!
@mirtamedina5552,2021-05-28T13:27:01Z,2021-05-28T13:27:01Z,5,Me encanta ese tema felicidades   te ganaste  un  Oscar
@JoanPazRios,2024-01-07T20:02:42Z,2024-01-07T20:02:42Z,0,Buenisimo
@leticiaosorio3911,2022-12-16T17:26:53Z,2022-12-16T17:26:53Z,2,Muy buena la salsa  Colombia
@Sandy-dd5jz,2023-09-04T06:43:41Z,2023-09-04T06:45:56Z,0,"OMG para mí Colombiano Fernando, lo acepto, quédate con tu Argentina old lady😅😅😅"
@harry96valerosoguero46,2023-08-19T23:20:56Z,2023-08-19T23:20:56Z,3,"Super este mix, talento latino donde la musica se disfruta a fondo, saluditos desde cuba"
@SalsaMix321,2023-12-21T01:28:25Z,2023-12-21T01:28:25Z,2,Música que jamás pasará de moda y que despierta muchas emociones... 🤗❤
@wolfgirl37417,2023-04-24T09:49:22Z,2023-04-24T09:49:22Z,0,Todo el mundo tiene su perfección todo ser vivo o fallecido
@armandkalajan6479,2023-10-29T02:29:54Z,2023-10-29T02:29:54Z,0,Musica para este fin de año ❤️👍
@user-ll4ml7su4u,2023-07-01T16:44:11Z,2023-07-01T16:44:11Z,3,"Soy de Cuba, la mayor de las Antillas. Aquí también somos amantes de la buena música, especialmente la de América Latina....."
@ricardoalfonso4058,2023-09-01T10:39:32Z,2023-09-01T10:39:31Z,0,soy de canarias y me encanta la salsa lo mejor
@alexyrius554,2022-09-24T14:40:06Z,2022-09-24T14:40:06Z,0,Dios los bendiga y sigan dando lo mejor de ustedes
@user-cd1te2hv1x,2024-01-22T14:49:50Z,2024-01-22T14:49:50Z,0,Salsa y de la buena...aparte de las que nos da el gobierno.
@lupemilian2504,2021-10-02T20:33:52Z,2021-10-02T20:33:52Z,12,Me Gusto Mucho ❤️❤️🔥
@vivianarioseoc5453,2023-04-25T20:34:41Z,2023-04-25T20:34:41Z,0,excelente seleccion
@isabelfernandez2127,2021-06-11T21:06:32Z,2021-06-11T21:06:32Z,20,"Excelente selección musical, muchas gracias por subirlo."
@marilinrodriguezlaborde7684,2022-11-17T17:03:33Z,2022-11-17T17:03:33Z,0,"Hoodoo, está salsa está muy buena,super gut"
@jhonnymarin127,2023-11-12T02:49:37Z,2023-11-12T02:49:37Z,1,buena salsa
@carlosjesus7909,2021-06-11T20:50:53Z,2021-06-11T20:50:53Z,19,"me gusta <a href=""https://www.youtube.com/watch?v=u_JqHUg_4x4&amp;t=470"">7:50</a> linda musica"
@dirasantos2456,2023-01-12T10:56:06Z,2023-01-12T10:56:06Z,0,Hermosa  canción.  👏🏼 👏🏼 👏🏼 👏🏼 👏🏼 👏🏼 👏🏼 👏🏼 👏🏼 👏🏼 👏🏼 💘 😍 💌 💖 💓 💘
@marthapaz1206,2021-10-28T15:21:02Z,2021-10-28T15:21:02Z,4,Excelente me encanta
@teresarivillas3158,2021-08-30T18:22:33Z,2021-08-30T18:22:33Z,5,Excelente. 👍👍👍👌
@salsaromanticamix678,2022-10-06T03:23:54Z,2022-10-06T03:23:54Z,4,Genial y con muchísimo sabor.
@isabelgloriaforradellas4968,2023-01-05T16:19:19Z,2023-01-05T16:19:19Z,0,"Está todo tú vídeo de mezclas lleno de trozos de los vídeos oficiales de los cantantes, ésto no lo había visto nunca de los qué hacen mezclas y menos de los cantantes de ahora, saludos 👋 desde España 🇪🇦."
@aryannanikole3942,2021-05-29T03:24:25Z,2021-05-29T03:24:25Z,9,Ya allah berikan kami kelancaran reski yg datang ditempat usaha kami ini agar ramai dan murahkan reski kepada kluarga hamba ya..allah
@inestomada,2023-03-13T02:51:39Z,2023-03-13T02:51:39Z,0,Hasta  Mañana  si dios quiere que descanse  bien mañana será otro día ahí que disfrutar cada día de este comienzo buen inicio de semana  Mañana  con actividades    con un pasas  según mis tiempos    un abrazo  grande Mundial  Marc Anthony  Mundial  Hasta en seguida  amor organizado  orgullosa  de esa estrella  inalcanzable  latina en mi corazón  ♥  solo tu lograría la felicidad  que me asume frete al futuro  en sentir  seguir nunca e sentido esta diferencia en este ser capaz  de este caballero plebeyo quien me dio Origen
@rubbiesmith9731,2021-09-28T05:02:45Z,2021-09-28T05:11:09Z,27,"Éxito , muy lindas canciones ,al igual que sus voces!"
@Nico-pj9hh,2023-11-13T21:07:50Z,2023-11-13T21:07:50Z,0,muy bueno...
@laurachavezmora7788,2021-06-03T20:44:54Z,2021-06-03T20:44:54Z,12,Bella canción
@JoseTrianaGonzalez-nx6gp,2024-01-26T21:03:21Z,2024-01-26T21:03:21Z,0,Waaoo buena musica
@claudiaveas,2022-12-21T18:16:15Z,2022-12-21T18:16:15Z,10,Linda canción 😍
@migdaliagarcia2055,2023-05-22T18:38:25Z,2023-05-22T18:38:25Z,0,Lindo tema increibleee❤❤❤❤❤❤😂
@gerardomaidana4743,2023-02-06T12:14:28Z,2023-02-06T12:14:28Z,0,Gracias. Esr.  Marte de tu vida de música que. Tramo. Mi vida
@fredharris9711,2021-09-14T16:29:05Z,2021-09-14T16:29:05Z,4,Muy bonitos los musicas.
